rank,dam_idx,water_start_idx,crest_elevation_m,ponded_length_m,mean_centreline_depth_m,max_centreline_depth_m,upstream_bed_rise_m,dam_chainage_m,lon,lat,bed_elevation_m
1,174.0,116.0,693.5,1734.2352039392154,3.453567350764302,7.5,1.0,5155.925804130925,25.444471670296064,-32.93404529947786,692.0
2,242.0,186.0,685.5,1662.9175719664036,4.760159012098628,9.5,1.0,7178.714759786581,25.455947329118818,-32.94341369941597,684.0
3,404.0,350.0,660.5,1617.211063535833,8.315826332809632,13.5,0.0,12020.31374631209,25.465309941415633,-32.95739905778582,659.0
4,483.0,452.0,639.5,928.1090093461662,2.805286227193236,6.5,1.0,14386.50521944269,25.47632693719492,-32.97212193441694,638.0
5,61.0,32.0,705.5,857.931667952731,1.7566187553128412,3.5,1.0,1785.9794894019637,25.426229521460236,-32.9329255354137,704.0
6,349.0,321.0,662.5,835.9993447727993,1.3037022355313599,2.5,1.0,10373.102682775954,25.451969391703976,-32.966184950190204,661.0
7,232.0,205.0,682.5,805.7064735255335,2.7390382356174707,5.5,1.0,6889.7274620581375,25.454722976838227,-32.94219601779494,681.0
8,51.0,25.0,706.5,757.7267342947373,2.0606680329023788,3.5,1.0,1486.6705832142127,25.424784079663226,-32.930572290458954,705.0
9,87.0,63.0,702.5,715.1816186906508,1.913463595774997,3.5,0.0,2561.0224417043887,25.429899756068334,-32.93820886994538,701.0
10,340.0,316.0,663.5,713.870829184867,1.8826666537573944,3.5,0.0,10104.971830654174,25.449419311604935,-32.966189294590734,662.0
11,161.0,138.0,690.5,688.8818362979218,1.760797471561045,2.5,0.0,4768.830128682879,25.44291449788798,-32.93559300480893,689.0
12,300.0,279.0,670.5,628.7807927965332,1.9048289091757202,3.5,1.0,8911.915103180918,25.450470183428546,-32.95709698180543,669.0
